Name,Type,Bloom_Period,Harvest_Period,Fertility,Use,Origin,Year_Planted,Footer
Chandler Walnut,Walnut,Very Late,Late,Self-fertile,Eating Fresh,1950`s,2026,Planted by: PB & RS
Chandler Walnut,Walnut,Very Late,Late,Self-fertile,Eating Fresh,1950`s,2026,Planted by: PB & RS
Lapins Cherry,Cherry,Early,Midseason,Self-fertile,Eating Fresh,"British Columbia, 1984",2026,Planted by: PB & RS
Black Tartarian Cherry,Cherry,Early,Early,Needs pollinator,Eating Fresh,Russia 1794,2026,Planted by: PB & RS
Black Tartarian Cherry,Cherry,Early,Early,Needs pollinator,Eating Fresh,Russia 1794,2026,Planted by: PB & RS
Puget Gold Apricot,Apricot,Early,Late,Self-fertile,Cooking/Sauce; Eating Fresh,1945 and beyond,2026,Planted by: PB & RS
Frost Peach,Peach,Late,Midseason,Self-fertile,Canning; Eating Fresh; Espalier; Pies,California 1960's,2026,Planted by: PB & RS
Goji Berry,Berry,Late spring,Late,Self-fertile,Cooking/Sauce; Eating Fresh,"China, ancient",2026,Planted by: PB & RS
Black Pakistan Mulberry,Mulberry,Spring,Mid to late summer,Self-fertile,Eating Fresh; Pies,"Pakistan, ancient",2026,Planted by: PB & RS
Bramley Seedling Apple,Apple,Late,Late,Needs pollinator (triploid),Cooking/Sauce; Eating Fresh; Espalier; Pies; Sweet Cider,England 1809,2026,Planted by: PB & RS
Rhode Island Greening Apple,Apple,Midseason,Midseason,Needs pollinator (triploid),Cooking/Sauce; Eating Fresh; Pies; Sweet Cider,Rhode Island 1650's,2026,Planted by: PB & RS
Glockenapfel Apple,Apple,Midseason,Late,Needs pollinator,Cooking/Sauce; Eating Fresh; Espalier; Pies,Switzerland 1500's,2026,Planted by: PB & RS
Kashmir Pomegranate,Pomegranate,Very Late,Very Late,Self-fertile,Eating Fresh; Espalier; juice,Kashmir region,2026,Planted by: PB & RS
Grenada Pomegranate,Pomegranate,Very Late,Very Late,Self-fertile,Eating Fresh; Espalier; juice,California,2026,Planted by: PB & RS
Black Pearl Cherry,Cherry,Early,Early,Self-fertile,Eating Fresh,"British Columbia, 2000s",2026,Planted by: PB & RS
Stella Cherry,Cherry,Early,Midseason,Self-fertile,Eating Fresh,"British Columbia, 1968",2026,Planted by: PB & RS
Cox Orange Pippin Apple,Apple,Midseason,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh; Espalier; Sweet Cider,England 1830,2026,Planted by: PB & RS
Winterstein Apple,Apple,Late,Late,Self-fertile,Cooking/Sauce; Eating Fresh; Pies; Sweet Cider,California 1898,2026,Planted by: PB & RS
Shanxi,Jujube,Very Late,Late,Needs pollinator,Dried; Eating Fresh,China 1800's,2026,Planted by: PB & RS
Sugarcane,Jujube,Very Late,Late,Needs pollinator,Dried; Eating Fresh,China 1800's,2026,Planted by: PB & RS
Marionberry,Berry,Spring,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900's,2026,Planted by: PB & RS
Marionberry,Berry,Spring,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900's,2026,Planted by: PB & RS
Loganberry,Berry,Spring,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900's,2026,Planted by: PB & RS
Loganberry,Berry,Spring,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900's,2026,Planted by: PB & RS
Heritage Red Raspberry,Berry,Spring & fall,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900's,2026,Planted by: PB & RS
Heritage Red Raspberry,Berry,Spring & fall,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900's,2026,Planted by: PB & RS
Fall Gold Raspberry,Berry,Spring & fall,Late,Self-fertile,Cooking/Sauce; Eating Fresh,1940's,2026,Planted by: PB & RS
Fall Gold Raspberry,Berry,Spring & fall,Late,Self-fertile,Cooking/Sauce; Eating Fresh,1940's,2026,Planted by: PB & RS
Hartley Walnut,Walnut,Very Late,Late,Self-fertile,Eating Fresh,1800's,2026,Planted by: PB & RS
Manregion English Walnut,Walnut,Very Late,Late,Needs pollinator,Eating Fresh,1900`s,2026,Planted by: PB & RS
Independence Nectarine,Nectarine,Midseason,Late,Self-fertile,Canning; Eating Fresh; Espalier; Pies,1900`s,2026,Planted by: PB & RS
Dolgo Crab Apple,Apple,Early,Early,Self-fertile,Cooking/Sauce; Espalier; Hard Cider,South Dakota 1897,2026,Planted by: PB & RS
Kakariki™ Feijoa,Feijoa,Midseason,Very Late,Needs pollinator,Cooking/Sauce; Dried; Eating Fresh,South America,2026,Planted by: PB & RS
Takaka™ Feijoa,Feijoa,Midseason,Very Late,Needs pollinator,Cooking/Sauce; Dried; Eating Fresh,South America,2026,Planted by: PB & RS
Baby Crawford Peach,Peach,Midseason,Midseason,Self-fertile,Canning; Eating Fresh; Espalier; Pies,1900`s,2026,Planted by: PB & RS
Sunshine Blueberry,Blueberry,Midseason,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900`s,2026,Planted by: PB & RS
Sunshine Blueberry,Blueberry,Midseason,Midseason,Self-fertile,Cooking/Sauce; Eating Fresh,1900`s,2026,Planted by: PB & RS
Jersey Blueberry,Blueberry,Midseason,Late,Self-fertile,Cooking/Sauce; Eating Fresh,1900`s,2026,Planted by: PB & RS
Jersey Blueberry,Blueberry,Midseason,Late,Self-fertile,Cooking/Sauce; Eating Fresh,1900`s,2026,Planted by: PB & RS
Chandler Blueberry,Blueberry,Midseason,Late,Self-fertile,Cooking/Sauce; Eating Fresh,1900`s,2026,Planted by: PB & RS
Chandler Blueberry,Blueberry,Midseason,Late,Self-fertile,Cooking/Sauce; Eating Fresh,1900`s,2026,Planted by: PB & RS
Van Cherry,Cherry,Early,Midseason,Needs pollinator,Eating Fresh,"British Columbia, 1944",2026,Planted by: PB & RS
Court Pendu Plat Apple,Apple,Very Late,Late,Self-fertile,Cooking/Sauce; Eating Fresh; Espalier; Sweet Cider,France 1613,2026,Planted by: PB & RS
Goldmine Nectarine,Nectarine,Early,Late,Self-fertile,Canning; Eating Fresh; Espalier; Pies,1800`s,2026,Planted by: PB & RS
Snow Queen Nectarine,Nectarine,Early,Very Early,Self-fertile,Canning; Eating Fresh; Espalier; Pies,1945 and beyond,2026,Planted by: PB & RS
Peter's Honey Fig,Fig,Late,Very Late,Self-fertile,Eating Fresh,"Sicily, Italy",2026,Planted by: PB & RS
George IV Peach,Peach,Midseason,Early,Self-fertile,Canning; Eating Fresh; Espalier; Pies,New York 1820's,2026,Planted by: PB & RS
Christmas Pink Apple,Apple,Midseason,Very Late,Needs pollinator,Eating Fresh; Espalier; Pies,"Ettersburg, CA 1900's",2026,Planted by: PB & RS
Mountain Rose Apple,Apple,Midseason,Late,Needs pollinator,Cooking/Sauce; Eating Fresh; Sweet Cider,Oregon 1950's,2026,Planted by: PB & RS
Pink Parfait Apple,Apple,Midseason,Very Late,Needs pollinator,Eating Fresh; Espalier; Pies,California 1900's,2026,Planted by: PB & RS
Pink Pearl Apple,Apple,Midseason,Early,Needs pollinator,Cooking/Sauce; Eating Fresh; Espalier; Pies; Sweet Cider,California 1944,2026,Planted by: PB & RS
Strawberry Parfait Apple,Apple,Midseason,Very Early,Needs pollinator,Cooking/Sauce; Eating Fresh; Sweet Cider,New Jersey 1900's,2026,Planted by: PB & RS
Winekist Apple,Apple,Midseason,Early,Needs pollinator,Cooking/Sauce; Eating Fresh; Sweet Cider,Dakotas 1949,2026,Planted by: PB & RS
Skeena Cherry,Cherry,Midseason,Midseason,Self-fertile,Eating Fresh,"British Columbia, 1996",2024,Planted by: PB & RS
Smyrna Quince,Quince,Late,Very Late,Self-fertile,Cooking/Sauce; Hard Cider; Pies; Sweet Cider,Turkey 1887,2024,Planted by: PB & RS
